"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375059","354939","Resolución","1017","","SECRETARIA DE COMERCIO INTERIOR","2021-10-06","MINISTERIO DE DESARROLLO PRODUCTIVO","RESOLUCION Nº 319/99 - ENTRADA EN VIGENCIA"
"375060","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375061","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375062","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375063","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375064","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375065","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375066","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375066","164048","Disposición","74","","POLICIA DE SEGURIDAD AEROPORTUARIA","2010-02-10","POLICIA DE SEGURIDAD AEROPORTUARIA","PROGRAMA NACIONAL DE SEGURIDAD DE LA AVIACION CIVIL DE LA REPUBLICA ARGENTINA - APROBACION"
"375067","320136","Comunicación","6397","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2019-02-21","ENTIDADES FINANCIERAS","LINEAMIENTOS PARA LA GESTION DE RIESGOS EN LAS ENTIDADES FINANCIERAS"
"375068","362708","Comunicación","7475","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-03-25","ENTIDADES FINANCIERAS","LINEA DE FINANCIAMIENTO PARA LA INVERSION PRODUCTIVA DE MIPYME"
"375068","367380","Comunicación","7536","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-07-05","ENTIDADES FINANCIERAS","EFECTIVO MINIMO"
"375069","375068","Comunicación","7627","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-11-16","ENTIDADES FINANCIERAS","EFECTIVO MINIMO Y APLICACION DE RECURSOS"
"375070","371614","Comunicación","7598","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-09-19","ENTIDADES FINANCIERAS","REGIMEN INFORMATIVO CONTABLE MENSUAL"
"375071","375068","Comunicación","7627","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-11-16","ENTIDADES FINANCIERAS","EFECTIVO MINIMO Y APLICACION DE RECURSOS"
"375072","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
